tool_id,name,url,organisations,partners,developers,donors,typologies,keywords,descriptions,countries,spatial_scale,frequncies,users,contacts
264,PRINCE,http://www.prince-project.se/,"KTH, Universiteit Leiden, TNO, SEI, NTNU, Statistiska centralbyran, Chalmers",,,,Data source,Agriculture,The PRINCE project is developing a new framework for monitoring the environmental impacts linked to Swedish consumption – both inside and outside Sweden’s borders – using the latest modelling and statistical techniques. PRINCE – for Policy-Relevant Indicators for National Consumption and Environment – responds to a call from the Swedish Environmental Protection Agency (EPA) and the Swedish Agency for Marine and Water Management (SwAM) for a new monitoring framework that uses a sound and repeatable methodology includes indicators for a wide range of environmental pressures and that provides a sound basis for policy decisions.,Sweden,National,,,
265,IOTA - SEI,https://www.sei.org/projects-and-tools/tools/iota/,Stockholm Environment Institute,Defra,,,Model,,"SEI’s Input-Output Trade Analysis (IOTA) model is an environmental footprinting tool that links physical data on commodity production in different countries with a detailed financial matrix that traces inter-industry buying and selling across the world. IOTA is a hybridised multi-regional input-output (MRIO) model. “Input-output” refers to the economic data underlying the MRIO model: both the inputs required by different economic sectors and the outputs that they produce, capturing all the activities of an economy at an aggregate level",,n/a,,,
267,Supply Chain Operations Reference model (SCOR),https://www.apics.org/apics-for-business/frameworks/scor,Association for Supply Chain Management,,,,Model,Sustainable business,"The Supply Chain Operations Reference (SCOR) model links business processes, performance metrics, practices, and people skills into a unified structure. It is hierarchical in nature, interactive and interlinked.",,,,,
268,AI for Earth,https://www.microsoft.com/en-us/ai/ai-for-earth,Microsoft,OceanMind; Wild Me; SiliviaTerra; Ag-Analytics,,n/a,Data portal,Earth observation,"Cloud and AI tools to create sustainable solutions for agriculture, water, biodiversity and climate change",,Global,,Science and Research,ai4egrants@microsoft.com
34,ArcGIS Living Atlas of the World,https://livingatlas.arcgis.com/en/,ESRI;ZSL;TNC;Conservation International;WWF;UK Natural History Museum;GBIF;Yale Map of Life;CSC Biodiversity;IIASA;NatureServe;GEO BON;University of Porto;Sustainable Development Solutions Network,ZSL;TNC;Conservation International;WWF;UK Natural History Museum;GBIF;Yale Map of Life;CSC Biodiversity;IIASA;NatureServe;GEO BON;University of Porto;Sustainable Development Solutions Network,,,Data source,Earth observation,"The ArcGIS Living Atlas of the World is the foremost collection of geographic information from around the globe. It includes maps, apps, and data layers to support your work.",Global,Global,,,https://www.esri.com/en-us/contact#c=gb&t=0
275,Benefit Transfer Toolkit,https://my.usgs.gov/benefit-transfer/,USGS,n/a,,"Bureau of Land Management, the National Park Service, and the USGS Sustaining Environmental Capital Initiative. Development of the USGS Benefit",Data portal,,"This toolkit compiles economic values estimates and other information on resources not priced in conventional markets. It includes nonmarket valuation databases, statistical forecasting models, and a recreation activities map for the US.",United States of America,National,,Governments,Unavailable
277,Biodiversity Indicator Partnership Dashboard,https://www.bipindicators.net/,NatureServe,"UNEP, UNEP-WCMC, BIP Secretariat, and 60+ partners",,"UN Environment Programme, the European Commission and the Swiss Federal Office for the Environment",Data portal,,"The BIP Dashboard was designed to streamline national reporting to the CBD through flexible, scalable visualizations of indicators that can be visualized in graph or map form at multiple scales (from global to regional to national to sub-national) and easily downloaded for inclusion in reports. This platform is serving as the foundation for a new Post 2020 Target Tracker which will allow for continual, forward looking tracking of the Post 2020 Targets at global and national scales",,Global,Monthly,Governments; Industry; NGOs,info@bipindicators.net
286,Climate Engine,https://app.climateengine.org/climateEngine,University of Idaho; Desert Research Institute; Google Earth Engine,,,,Flexible analysis platform,Climate change / disaster risk reduction,"On-Demand Cloud Computing and Visualization of Climate and Remote Sensing Data. Analyze and interact with climate and earth observations for decision support related to drought, water use, agricultural, wildfire, and ecology.",,Global,,,Justin Huntington (PI) ustin.huntington@dri.edu
288,Coastal Resilience Decision Support Tools,https://coastalresilience.org,The Nature Conservancy,"Global Disaster Preparedness Center; Microsoft; azavea; Natural Capital Project; NOAA, CISR; spatialdev; United Nations University Institute for Environment and Human Security; esri; International Federation of Red Cross and Red Crescent Societies; the University of Southern Mississippi",,n/a,Decision-support tool,Area-based / land use planning; Climate change / disaster risk reduction,"The Coastal Resilience decision support system includes a visualization platform where ecological, social, and economic information can be viewed alongside sea level rise and storm surge scenarios in specific geographies. In addition, a modular, configurable plugin architecture allows specific geographies to have apps designed specifically for geo-processing and display.",,Global,,,coastalresilience@tnc.org
289,Collect Earth,http://www.openforis.org/tools/collect-earth.html,SERVIR (a joint NASA and USAID program) and FAO,,,,Flexible analysis platform,Earth observation,"Collect Earth Online is a high resolution satellite image viewing system for use in projects that require land cover and/or land use reference data. It uses Google Earth's interface to facilitate assessment of deforestation and other forms of land use change by synchronizing high resolution satellite imagery from Google Earth, Bing Maps and Google Earth Engine. It is available for download, or can be used as Collect Earth Online.",,Global,,Governments,n/a
290,Commodity Mapping Tool,https://www.sustainabilityconsortium.org/projects/commodity-mapping/,The Sustainability Consortium,,,,Flexible analysis platform,,TSC’s Commodity Mapping Tool is designed to help members visualize and communicate the risks present in their product supply chains.,,Global,,Industry,https://www.sustainabilityconsortium.org/contact/
321,Global Footprint Network - Finance for Change Initiative,https://www.footprintfinance.org/,Global Footprint Network,"UNEP Finance Initiative; Ceres; PRI, South Pole Group",,,Flexible analysis platform,Finance,"Trade data from our Bilateral Trade Analysis tracks resource flows, including embedded carbon and food commodities, for 57 covered sectors and 129 countries and regions.",Global,Global,,Industry; Financial institutions,https://www.footprintfinance.org/contact/
410,UNdata,https://data.un.org/,United Nations Statistics Division (UNSD),,,,Data source,,"UNdata is a web-based data service for the global user community. It brings international statistical databases within easy reach of users through a single-entry point. Users can search and download a variety of statistical resources compiled by the United Nations (UN) statistical system and other international agencies. The numerous databases or tables collectively known as ""datamarts"" contain over 60 million data points and cover a wide range of statistical themes including agriculture, crime, communication, development assistance, education, energy, environment, finance, gender, health, labour market, manufacturing, national accounts, population and migration, science and technology, tourism, transport and trade.",Global,Global; Regional; National,,,
68,Ecosystem Valuation Toolkit (EVT),https://www.eartheconomics.org/ecosystem-valuation-toolkit,Earth Economics,,,,Flexible analysis platform,Natural capital / ecosystem services,"A comprehensible, searchable database of ecosystem service values. The EVT holds thousands of values gleaned from ecosystem service value databases and peer-reviewed academic journals, and the tool is constantly updated to keep on the cutting edge of this rapidly evolving field.",,,,,
93,Global Forest Resources Assessment,http://www.fao.org/forestry/en/,FAO,,,,Data source; Other - Statistics,Forests,"FAO Forestry Division works with statistics in the following areas: Global compilations of comparable statistics; annual data on production, import / export and consumption of forest products (FAOSTAT-Forestry and FAO Yearbook of Forest Products); pulp and paper production capacities and recovered paper data surveys; and every fifth year report on forest resource statistics (Global Forest Resources Assessments); and Country support.",,,,,
303,ENCORE,https://encore.naturalcapital.finance/en,UNEP-WCMC; Natural Capital Finance Alliance,UNEP Finance initiative; Global Canopy,,Swiss State Secretariat for Economic Affairs (SECO); MAVA Foundation,Decision-support tool; Visualisation / dashboard,Finance; Natural capital / ecosystem services; Sustainable business,"ENCORE (Exploring Natural Capital Opportunities, Risks and Exposure) enables users to visualise how the economy depends on nature and how environmental change creates risks for businesses. Starting from a business sector, ecosystem service, or natural capital asset, ENCORE can be used to start exploring natural capital risks. These risks can be explored further to understand location-specific risks with maps of natural capital assets and drivers of environmental change.",Global,Global; Regional; National,Bi-annually,Financial institutions,
334,Icebreaker One,https://icebreakerone.org/,Icebreaker One,,,,Other - initiative/organisation,,"Partisan, not-for-profit, working to deliver net-zero future in collaboration with members. We Bringing together key stakeholders across finance, water, energy, transport, agriculture and the built environment sectors, and existing Members include NGOs, industry, academia and financial institutions.
 Identifying data infrastructure needed to reduce carbon emissions and then unlock this by creating standards-based marketplaces for environmental & financial data.",,,,,
384,Resource Watch,https://resourcewatch.org/,World Resources Institute,Vizzuality; Carto,,,Library/catalogue,Earth observation,"Comprehensive portal of hundreds of data and innovative viz aiming to cater a broad range of gov staff, civil society, journalists, and the public.",Global,Global; Regional; National,,Governments; NGOs; Media; General public,
393,Soft Commodity Risk Platform (SCRIPT),https://www.script.finance/en/,Global Canopy Programme,"WWF, Ceres, CDP, SPOTT",,Gordon and Betty Moore Foundation,Decision-support tool,Sustainable business; Finance,SCRIPT (Soft Commodity Risk Platform) is a new freely-available system to help financial institutions understand and mitigate the deforestation risks associated with financing companies in soft commodity supply chains. The platform provides tools and guidance for financial institutions to establish a robust sustainable financing policy and screen their portfolios to determine the companies and issue areas that pose the greatest risk to their institution.,,,,,
221 TTI,Contour / InsideBusiness Trade,https://new.ingwb.com/en/trade-solutions/trade-finance-services,Ing,,,,Data services,Finance; blockchain,"Blockchain-based trade finance platform Contour, digitising the 400-year-old process of paper letters of credit together with other global banks and financial consultants. In 2018 and 2019 several pilots were carried out which showed that full digitisation reduces the time from initiation-to-payment by 9-11 days. As well as saving time, users will also enjoy transaction risk reduction as a result of better availability and matching capabilities of their data.",,,,,
223 TTI,Proagrica,https://img04.en25.com/Web/Proagrica/%7B74568ca7-f8e1-406e-998e-4508a53d014f%7D_4547_100percent_Whitepaper_2.pdf?elqTrackId=23c48fdc50e24c9c967d19fd43f68451&elqaid=457&elqat=2,Proagrica,,,,Decision-support tool; Data services,Agriculture; supply chain,"Integrated network, workflow solutions. Multi-sector. Working with agricultural suppliers, manufacturers and distributors globally to implement solutions to improve communication, processes and promote ease of business. By being focused solely on agriculture Proagrica has developed a supply chain connectivity network that spans every sector of the market place. Proagrica offers various solutions to connect workflows, internal systems and infrastructure specifically in the agricultural industry.",,,,,
224 TTI,Land Portal,https://landportal.org/,The Land Portal Foundation,,,,Other - initiative/organisation; Data portal; Digital reports,,"Knowledge broker, resource base, online community of users and voice within global land governance. Platform for land data, publications, news, blogs, multimedia content and much more from an international network of organizations and institutions. Aggregating diverse and highly dispersed content helps to make hidden data available to everyone.
 Linking land databases, bringing fragmented data collections together and enriching content with metadata that complies with Open Data standards and principles.",Global,,,,
225 TTI,Biodiversity Footprint Project,https://sayari.co/product-biodiversity-footprint,Sayari,,,Ademe; L'Oréal; Kering; Avril,Other - initiative/organisation,Biodiversity; LCA; Life Cycle Assessment; footprint,"The “Product Biodiversity Footprint” (PBF) project is a methodology and tool to assess and improve the biodiversity footprint of products across their entire value chain.
 It aims to provide companies with quantitative and qualitative elements enabling them to design products considering their impact on biodiversity.",,,,,
226 TTI,Earth Map,https://earthmap.org/login,FAO,FAO; Google,,,Flexible analysis platform; Data portal,Remote sensing,"Multidimensional maps and statistics showing key climate and environmental trends. New tool developed by Google and the Food and Agriculture Organization (FAO) of the United Nations. Earth Map makes available multi-temporal and quasi real-time satellite imagery and geospatial data sets that drive Google Earth Engine and complements them with more planetary-scale analytical capabilities, allowing for detection, quantification and monitoring of changes and trends on the Earth's surface.
 Earth Map is an innovative and free-to-use Web-based tool to provide efficient, rapid, inexpensive and analytically cogent insights, drawn from satellites as well as FAO's considerable wealth of agriculturally relevant data, with a few clicks on a computer.",,,,,
227 TTI,Circular Economy.earth,https://circulareconomy.earth/,Chatham House,,Applied Works,MAVA,Digital reports; Visualisation / dashboard,,circulareconomy.earth has been developed by Chatham House to allow users to explore the policy and trade dynamics associated with transitioning from linear to circular economic models as well as providing analyses of the opportunities and trade-offs associated with such transitions.,,,,,
228 TTI,Accelerating Sustainable Finance initiative,https://deutsche-boerse.com/dbg-en/media/deutsche-boerse-spotlights/spotlight/Sustainable-finance-143942,Deutsche Börse Group,,,,,,,,,,,
229 TTI,Access to Medicine Index,https://accesstomedicinefoundation.org/access-to-medicine-index/about-the-index#data-collection-analysis-and-publication,Access to Medicine Foundation,,,,Decision-support tool,Social,,Global,,,,
230 TTI,Access to Nutrition Index (ATNI),https://www.accesstonutrition.org/foundation/about-us,Access to Nutrition Initiative,,,,Decision-support tool,Social,,Global,,,,
231 TTI,act4nature (Companies for Biodiversity),http://www.act4nature.com/en/,EPE (Entreprises pour l’Environnement),,,,Other - initiative/organisation,,,Global,,,,
232 TTI,Agrimetrics,https://agrimetrics.co.uk/home,Rothamsted Research; Reading University; NIAB; SRUC,,,,Data portal; Other - initiative/organisation,Environment; Agriculture,,UK,,,,
233 TTI,Agrobiodiversity Index (ABD Index),https://www.bioversityinternational.org/fileadmin/user_upload/online_library/Mainstreaming_Agrobiodiversity/Mainstreaming_Agrobiodiversity_Sustainable_Food_Systems_WEB.pdf,Biodiversity International,,,,Decision-support tool,Environment; Agro-Industry,,Global,,,,
234 TTI,Agrotools,https://cloud.google.com/customers/agrotools/,,,,,Data services,Environment; Agriculture,,Brazil,,,,
235 TTI,Amazon Soy Moratorium,,ABIOVE; ANEC,,,,Other - Initiative/Organisation,Soy,,Brazil,,,,
236 TTI,ABIOVE,https://abiove.org.br/en/,ABIOVE,,,,Data services; Other - Statistics,,,,,,,
237 TTI,Atlas of Brazilian Agriculture,http://atlasagropecuario.imaflora.org/,SEI; KTH; Trase; Instituto Escolhas; Chalmers; Mapbiomas; Lagesa,,,,Other - Statistics; Flexible analysis platform,Environment; Social; Agriculture,,Brazil,,,,
238 TTI,Banking Environment Initiative (BEI),https://www.cisl.cam.ac.uk/business-action/sustainable-finance/banking-environment-initiative,CISL,,,,Other - initiative/organisation,,,Global,,,,
239 TTI,Behind the brands,https://www.behindthebrands.org/,OXFAM,,,,Other - initiative/organisation; Digital reports,,,,,,,
240 TTI,Benchmarking the greenness of financial centres,https://www.i4ce.org/benchmarking-the-greenness-of-financial-centres/,(I4CE) Institute for Climate Economics,,,,Decision-support tool,,,Global,,,,
241 TTI,Better Growth without deforestation,https://www3.weforum.org/docs/WEF_GAC15_Better_Growth_with_Forests.pdf,Tropical Forest Alliance (TFA) 2020,,,,Other - initiative/organisation; Data portal; Digital reports,Palm oil; Soy; Beef; Paper; Pulp,,Global,,,,
242 TTI,Biodiversity & Natural capital network,https://financefortomorrow.com/en/,Finance for Tomorrow (by Paris Europlace),,,,Other - initiative/organisation,Natural Capital,,,,,,
243 TTI,Biodiversity and Agricultural Commodities Program (BACP),https://www.ifc.org/wps/wcm/connect/RegProjects_Ext_Content/IFC_External_Corporate_Site/BACP/,IFC,,,,Other - initiative/organisation,Palm oil; Soy; Cocoa,,Indonesia; Ghana and Cote d’Ivoire; Malaysia; Liberia; Cameroon; Brazil; Argentina,,,,
244 TTI,Biodiversity Barometer,http://www.biodiversitybarometer.org/,Union for Ethical BioTrade (UEBT),,,,Other - initiative/organisation; Digital reports,Cosmetics; Pharmaceuticals,,Global,,,,
245 TTI,Biodiversity Footprint Calculator (BF),http://www.plansup.nl/cms/wp-content/uploads/Factsheet-Bf-Calculator.pdf,Plansup,,,,Decision-support tool,Environment; Agriculture,,Global,,,,
246 TTI,Biodiversity Footprint for Financial Institutions (BFFI),https://pre-sustainability.com/solutions/consulting/sustainable-companies/biodiversity-assessment/,ASN Bank,,,,Decision-support tool,Environment; Financial; Agriculture,,Global,,,,
247 TTI,Biodiversity Impact Metric (BIM) or Healthy Ecosystems Metrics,https://www.cisl.cam.ac.uk/resources/publication-pdfs/healthy-ecosystem-metric-framework.pdf,Cambridge Institute for Sustainability Leadership (CISL),,,,Decision-support tool,Environment; Agriculture,,Global,,,,
248 TTI,Biodiversity Indicator for Extractive Companies (BIE),https://www.unep-wcmc.org/system/dataset_file_fields/files/000/000/487/original/Biodiversity_Indicators_for_Extractive_Companies_FINAL.pdf?1516357616,UNEP-WCMC; Fauna & Flora International; Conservation International,,,,Decision-support tool,Environment; Extractive Industries,,Global,,,,
249 TTI,Biodiversity Monitoring System for the Food Sector and Biodiversity Performance Tool (BPT),https://www.business-biodiversity.eu/en/biodiversity-performance-tool,Solagro; France. Lake Constance Foundation; Germany,,,,Decision-support tool,Environment; Agriculture,,Global,,,,
250 TTI,Biological Diversity Protocol (BD Protocol),http://bdprotocol.org/,Endangered Wildlife Trust (Sout Africa),,,,Decision-support tool,Environment; Agriculture,,Global,,,,
251 TTI,Bioscope,https://www.i-care-consult.com/wp-content/uploads/2018/09/Assessment-biodiversity-metrics-for-business-and-FI_draft-report-5Sept2018.pdf,Platform BEE (Biodiversity; Ecosystems and Economy),,,,Decision-support tool,Environment; Agriculture,,Global,,,,
252 TTI,Brazilian Roundtable on Sustainable Livestock (GTPS),https://gtps.org.br/en/,,,,,Other - initiative/organisation,Livestock,,Brazil,,,,
253 TTI,Building productive and sustainable landscapes and livelihoods,https://www.wbcsd.org/Programs/Food-and-Nature/Food-Land-Use/Global-Agribusiness-Action-on-Equitable-Livelihoods,Global Agri Business Alliance,,,,Other - initiative/organisation; Data portal,Agriculture,,Global,,,,
254 TTI,Bushmeat Crisis Task Force (BCTF),https://www.povertyandconservation.info/en/org/o0163,,,,,Other - Initiative/Organisation,Bushmeat,,Global,,,,
255 TTI,Bushmeat Research Initiative,https://www2.cifor.org/bushmeat/,CIFOR,,,,Other - Initiative/Organisation,Bushmeat,,Global,,,,
256 TTI,Business and Biodiversity Offsets Programme (BBOP),https://www.forest-trends.org/bbop/,Forest Trends,,,,Other - initiative/organisation,,,Global,,,,
257 TTI,Business for Nature,https://www.businessfornature.org/,WBCSD; WE MEAN BUSINESS; World Economic Forum; Natural Capital Coalition; WWF; The Nature Conservancy; ICC; WRI; IUCN,,,,Other - initiative/organisation,Nature,,Global,,,,
258 TTI,Business for Sustainable Landscapes,https://portals.iucn.org/library/sites/library/files/documents/2017-022.pdf,Landscapes for People; Food and Nature Initiative,,,,Other - initiative/organisation; Digital reports,Food; Agriculture,,Global,,,,
259 TTI,Center for Environmental Leadership in Business,https://celb.org/,CELB,,,,Other - initiative/organisation,,,,,,,
260 TTI,CGF resolution to zero net deforestation by 2020,https://www.theconsumergoodsforum.com/environmental-sustainability/forest-positive/,The Consumer Goods Forum (CGF),,,,Other - initiative/organisation; Data portal,Soy; Palm oil; Paper; Pulp; Cattle,,Global,,,,
261 TTI,Cocoa & Forests Initiative,https://www.worldcocoafoundation.org/initiative/cocoa-forests-initiative/,World Cocoa Foundation (WCF),,,,Other - initiative/organisation,Cocoa,,Colombia; Côte d’Ivoire; Ghana,,,,
262 TTI,CocoaAction,"https://www.worldcocoafoundation.org/initiative/cocoaaction/#:~:text=CocoaAction%20was%20a%20voluntary%20strategy,The%20program%20ended%20in%202019.",WCF,,,,Other - initiative/organisation,Cocoa,,Global,,,,
263 TTI,Commodities and Sustainable Development,https://unctad.org/topic/commodities,UNCTAD,,,,Other - initiative/organisation; Digital reports; Other - Statistics,,,,,,,
264 TTI,Corporate Ecosystem Services Review (ESR),https://www.wri.org/research/corporate-ecosystem-services-review,WRI,,,,Other - initiative/organisation,,,Global,,,,
265 TTI,Council for Sustainable Business,https://www.gov.uk/government/groups/council-for-sustainable-business,UK Department for Environment; Food and Rural Affairs,,,,Other - Initiative/Organisation,,,,,,,
266 TTI,CPIC’s Forest Landscape Conservation and Restoration Working Group,"http://cpicfinance.com/blueprints/forest-restoration-and-conservation/#:~:text=CPIC's%20Forest%20Landscape%20Conservation%20and,carbon%20credits%20and%20usage%20fees.&text=The%20working%20group%20is%20led,European%20Investment%20Bank%20(EIB).",Coalition for Private Investment in Conservation (CPIC),,,,Other - initiative/organisation; Data services,Timber,,global,,,,
267 TTI,CPIC’s Sustainable Agricultural Intensification Working Group,http://cpicfinance.com/blueprints/sustainable-agricultural-intensification/,Coalition for Private Investment in Conservation (CPIC),,,,Other - initiative/organisation,,,global,,,,
268 TTI,CREEA (Compiling and Refining Environmental and Economic Accounts ),https://cordis.europa.eu/project/id/265134/reporting,TNO,,,,Other - initiative/organisation; Digital reports,Environment,,Global,,,,
269 TTI,CRIC (Corporate Responsibility Interface Center),https://cric-online.org/,,,,,Other - initiative/organisation,Investment,,Global,,,,
270 TTI,Capitals Coalition,https://capitalscoalition.org/,,,,,Other - initiative/organisation; Digital reports,Environment,,Global,,,,
271 TTI,Dialecte,http://dialecte.solagro.org/index.php,Solagro,,,,Decision-support tool,Environment; Agriculture,,,,,,
272 TTI,EcoInvent,https://www.ecoinvent.org/about/about.html,ETH; Agroscope; Empa; EPFL; PSI,,,,Database,Agriculture,,Global,,,,
273 TTI,Encouraging responsible investment,https://www.worldwildlife.org/industries/international-finance,WWF,,,,Decision-support tool,Soy,,Global,,,,
274 TTI,Environmental Impact Index (EII),https://spillovers.environmentalimpact.global/#/,Sustainable Development Solutions Network (SDSN); Yale Center for Environmental Law & Policy (YCELP),,,,Decision-support tool,Environment,,Global,,,,
275 TTI,Environmental Profit & Loss Account (EP&L),https://www.kering.com/en/sustainability/environmental-profit-loss/,Kering,,,,Decision-support tool,Environment; Luxury,,Global,,,,
276 TTI,EORA,https://www.worldmrio.com/,,,,,Database,Environment,,Global,,,,
277 TTI,Equator Principles (EP) - Biodiversity Working Group,https://equator-principles.com/working-groups/,Citi; CIFI,,,,Other - Initiative/Organisation,,,Global,,,,
278 TTI,EU Product Environmental Footprints,https://ec.europa.eu/environment/eussd/smgp/ef_pilots.htm#sme,,,,,Decision-support tool,Environment; Agriculture,,Europe,,,,
279 TTI,EX- Ante Carbon balance Tool (EX-ACT),http://www.fao.org/tc/exact/ex-act-home/en/,FAO; AFD,,,,Decision-support tool,Environment; Agriculture,,Global,,,,
280 TTI,EXIOBASE,https://www.exiobase.eu/,NTNU; TNO; SERI; Universiteit Leiden; WU; 2.-0 LCA Consultants,,,,Database,Environment; Agriculture,,Global,,,,
281 TTI,Facilitation of Financing for Biodiversity-based Businesses and Support of Market Development Activities in the Andean Region,https://www.thegef.org/project/facilitation-financing-biodiversity-based-businesses-and-support-market-development,Global Environment Facility (GEF) Trust Fund,,,,Other - initiative/organisation,,,Andean region,,,,
282 TTI,Fair for Life (FFL) / For Life (FL),https://www.fairforlife.org/pmws/indexDOM.php?client_id=fairforlife&page_id=materials&lang_iso639=en,ECOCERT Group,,,,Other - initiative/organisation,Environment; Social,,Global,,,,
283 TTI,Fairtrade International,https://www.fairtrade.net/,Fairtrade International,,,,Other - initiative/organisation,Environment; Social,,Global,,,,
284 TTI,FEW-View,https://fewsion.dtn.asu.edu/,Fewsion; National Science Foundation; USDA; NAU; ASU,,,,Visualisation / dashboard,Environment,,,,,,
285 TTI,Financial Sector Engagement initiative,https://www.tropicalforestalliance.org/,Tropical Forest Alliance (TFA) 2020,,,,Other - initiative/organisation; Data portal,Palm oil; Soy; Beef; Paper; Pulp,,Global,,,,
286 TTI,FNG (Forum Nachhaltige Geldanlagen),https://www.forum-ng.org/en/,,,,,Other - initiative/organisation,,,Global,,,,
287 TTI,Forest 500,https://forest500.org/,Global Canopy,,,,Visualisation / dashboard; Data portal,Forests,,Tropics,,,,
