tool_id,name,url,organisations,partners,developers,donors,typologies,keywords,descriptions,countries,spatial_scale,frequncies,users,contacts
1 TTI,ECOWAS ,https://www.eco-icbt.org/trade-data/,"Agricultural Market and Trade Department of the Permanent Interstate Committee for Drought Control in the Sahel (CILSS)
West African Association for Cross-Border Trade, in Agro-forestry-pastoral and Fisheries Products (WACTAF) ",Data portal,Corn/ Maize; Mango; Beef; Palm oil; Poultry; Sugar; Multiple,"AGRICTRADE will contribute to improving trade in agricultural, food and livestock production in Sahel and West Africa through provision of tools and market information necessary for promotion of trade in agricultural, food and livestock products in Sahel and West Africa and dissemination of information on instruments of regional trade policies and trade opportunities relating to the products, agricultural inputs and livestock. The expected outputs include: Disseminated information on markets cross-border trade flow and barriers to trade, increased networking and capacity of private and public market players, information about regional polices, instruments and tools on trade that will result in increased commercial transactions on staple foods and livestock in the Sahel and West Africa region.",West Africa,International,,,ssacko@ecowas.int
41 TTI,Export Potential Map,exportpotential.intracen.org ,International Trade Centre,Decision-support tool; Data portal; Visualisation / dashboard; Data services,Multiple,"The Export Potential Map is a free tool that turns economic analysis into practical trade information using the ITC export potential methodology. It identifies products, markets and suppliers with export potential as well as opportunities for export diversification for 226 countries and territories and 4,377 products. Based on the ITC export potential methodology, this tool evaluates export performance, the target market's demand and market access conditions as well as bilateral links between the exporting country and target market to provide a unique ranking of untapped opportunities. Customized versions of Export Potential Map have been created for Malawi, Greece and Bahrain.",Global,Global ,Regularly,Industry; Financial institutions; Investors/Philanthropy,marketanalysis@intracen.org
43 TTI,Figure.NZ,figure.nz ,Figure NZ Trust,Statistics; Visualisation / dashboard; Data portal,Agriculture; Beef; Soybean; Palm oil; Poultry; Corn/ Maize; Multiple,"The aim of Figure.NZ is to advance the use of data in New Zealand, and to make it easily accessible to the public, ultimately allowing more public data to become available to everyone for free, and making it easy to find and use. Figure.NZ has built a custom web application called Grace which lets them convert spreadsheets of data into tidy, useful formats that is published for everyone. Data is then used to create charts, maps, and other content.",New Zealand,National,Regularly,General public,ngapera@figure.nz
44 TTI,FRED (Federal Reserve Economic Data),fred.stlouisfed.org ,Federal Reserve Bank of St Louis,Data source; Data portal; Statistics; Visualisation / dashboard; Digital reports; Database,Multiple,"FRED is an online database consisting of hundreds of thousands of economic data time series from national, international, public, and private sources. FRED combines data with a mix of tools that help the user understand, interact with, display, and disseminate the data",United States of America,National,Daily,Not specified,
46 TTI,Fur Commission USA,https://furcommission.com/fur-industry-statistics/,Fur Commission USA,Statistics; Data source; Digital reports,Wildlife,Data and statistics on the farmed mink market,United States of America,National,Annually,Not specified,challis.hobbs@furcommissionx.wpengine.com
47 TTI,Trading Charts,futures.tradingcharts.com ,Intercontinental Exchange,Visualisation / dashboard; Statistics,Coffee; Cocoa; Corn/ Maize; Cotton; Soybean; Beef; Sugar; Multiple,"Stock and commodity prices. TradingCharts is a source for free futures and commodity prices / quotes and charts, and other market information including futures and commodity news. TradingCharts tracks many commodities and financial indicators, making the information available in the form of free commodity charts and intraday commodity quotes.",United States of America,National,Daily,Not specified,
48 TTI,Gabon Data Portal,gabon.opendataforafrica.org ,African Development Bank Group,Data portal; Visualisation / dashboard,Agriculture; Corn/ Maize,Provides import and export statistics for Gabon's trade,Gabon,National,Regularly,Not specified,statistics@afdb.org.
49 TTI,United Nations Conference on Trade and Development,https://unctad.org/statistics,United Nations Conference on Trade and Development,Flexible analysis platform; Data portal; Visualisation / dashboard; Statistics,Multiple,"Free to use dissemination platform. UNCTAD compiles, validates and processes a wide range of data collected from national and international sources. Most time-series data cover extended periods of time, with some dating back to 1948, for most of the world's economies. UNCTAD produces indicators and statistical time series for the analysis of international trade, economic trends, foreign direct investment, external financial resources, population and labour force, commodities, the information economy and maritime transport. The statistical series are regularly updated and classified into themes. ",Global,Global ,Annually,Governments,
50 TTI,Global Edge,globaledge.msu.edu ,Michigan State University International Business Center,Statistics; Visualisation / dashboard,Multiple,"Global trade import and export data and statistics, as well as data visualisation",Global,Global,Ad hoc,Not specified,
51 TTI,Trade Visualisation System,https://globaletrade.services/products/trade-visualization-system-tvs,GeTS Asia Pte Ltd,Visualisation / dashboard; Data services,Multiple,"Trade Visualisation System (TVS) aggregates large amount of trade data and presents them through reports, graphs and charts for quick and easy analysis. Visualised information displays key performance indicators and promotes better understanding of trends through easier comparisons. By sifting through data to identify patterns, TVS offers valuable insights into potential bottlenecks and complex relationships between stakeholders. TVS provides instant ad-hoc analysis of real-time data. With immediate identification of problems, government entities and key stakeholders can quickly implement major strategic and operating decisions.",Global,Global ,Not specified,Governments; Industry,-8526
53 TTI,Gro Intelligence,https://gro-intelligence.com/data,Gro Intelligence,Flexible analysis platform; Data services; Data source,Agriculture; Corn/ Maize; Soybean; Multiple,"Platform that currently processes over 60 million unique data series and 650 trillion data points on a daily basis. Select data in any format and from any origin and reconstruct it using a unique language that serves as a classification system for the global agricultural industry. Library of accurate and improved data enables users to find data, analyze it, and generate predictive models and forecasts.",United States of America,Global ,Daily,Industry,+1 718 935 0100
54 TTI,Library of Congress,https://guides.loc.gov/sugar-cane-industry/print-international,Library of Congress,Digital reports; Library/catalogue,Sugar; Agriculture,"Historical trade data, mainly covering the sugar trade but includes food/agricultural data",United States of America,Global ,Not updated ,Not specified,
55 TTI,High Commission of India in Tanzania,hcindiatz.gov.in ,High Commission of India in Tanzania,Statistics ,,,India; Tanzania,,,,hoc.desalaam@mea.gov.in
56 TTI,HKTDC Research,hong-kong-economy-research.hktdc.com ,Hong Kong Trade Development Council,Statistics; Digital reports,Multiple,"Market insights and product information via trade publications, research reports and digital news channels. Aims to connect small-and medium-sized enterprises (SMEs) through Hong Kong's business platform.",Hong Kong,International,Weekly,Industry,Tel: (852) 1830 668
58 TTI,Multi-Criteria Analysis Shell for Spatial Decision Support (MCAS-S) ,http://mcas.ternlandscapes.net.au/mcas-s/,Australian Bureau of Agricultural and Resource Economics and Sciences,Decision-support tool; Flexible analysis platform,Multiple,"The MCAS-S is a software tool that enables multi-criteria analysis (MCA) using spatial data. It is a powerful, easy-to-use and flexible decision-support tool that provides: 
•a framework for assessing options 
•common metrics for classifying, ranking and weighting of data 
•tools to compare, combine and explore spatial data 
•live-updates of alternative scenarios and trade-offs ",Australia,National,Not specified,Industry,land_management@agriculture.gov.au
59 TTI,Cybex Exim Solutions,http://www.cybex.in/,Cybex Exim Solutions,Data portal,Multiple,Provides statistics on Indian and South American exports and imports,India; South America,International,Ad hoc,Industry,+91.120.4517800
3,FAOStat ,http://www.fao.org/faostat/en/#data,FAO,Data portal; Visualisation / dashboard,Agriculture; Corn/ Maize; Multiple,Platform focused largely on agricultural topics. Selected data can be visualised and compared ,Global,Global,Weekly,Industry; General public,FAO-HQ@fao.org
62 TTI,OECD data,https://data.oecd.org/,Organisation for Economic Cooperation and Development,Data portal,Agriculture; Corn/ Maize; Soybean; Beef; Poultry; Multiple,"Integrates databases, providing statistics on global agriculture and producing visualisations of this data",Global,Global ,Monthly,Not specified,Tel.: +33 1 45 24 82 00
63 TTI,Eurostat,https://ec.europa.eu/eurostat,European Commission,Data portal; Visualisation / dashboard,Agriculture; Beef; Poultry; Multiple; Corn/ Maize,Statistics and data on Europe. Eurostat produces European statistics in partnership with National Statistical Institutes and other national authorities in the EU Member States. This partnership is known as the European Statistical System (ESS). It also includes the statistical authorities of the European Economic Area (EEA) countries and Switzerland.,Europe,International,Weekly,Not specified,+352 314401-997
64 TTI,Statistics Explained,https://ec.europa.eu/eurostat/statistics-explained/index.php/Main_Page,European Commission,Statistics; Visualisation / dashboard,Agriculture,"Guide to European statistics. Statistics Explained is an official Eurostat website presenting statistical topics in an easily understandable way. There is a statistical glossary clarifying all terms used, and  numerous links to further information and the latest data and metadata.",Europe,International,Regularly,General public,
65 TTI,Crop Market Observatory,https://ec.europa.eu/info/food-farming-fisheries/farming/facts-and-figures/markets/overviews/market-observatories/crops_en,European Commission,Statistics; Data portal,Corn/ Maize; Soybean; Palm oil,"Weekly and monthly statistics on world cereal prices, and EU production and trade.",Europe,International,Weekly,Not specified,00 800 67 89 10 11
66 TTI,EU Meat Market Observatory,https://ec.europa.eu/info/food-farming-fisheries/farming/facts-and-figures/markets/overviews/market-observatories/meat_en,European Commission,Data portal,Beef,"The aim of the EU meat market observatory is to provide information on national and European beef markets, including data on imports, exports, prices and production ",Europe,International,Weekly,Not specified,
67 TTI,Sugar Market Observatory,https://ec.europa.eu/info/food-farming-fisheries/farming/facts-and-figures/markets/overviews/market-observatories/sugar_en,European Commission,Statistics; Data portal,Sugar ,The aim of the European sugar market observatory is to provide statistical data and reports on sugar production and consumption,Europe,International,Monthly,Not specified,
69 TTI,EC Statistics,https://ec.europa.eu/trade/policy/countries-and-regions/statistics/regions/index_en.htm,European Commission,Statistics; Data portal,Agriculture; Multiple,"International trade statistics and data by country, grouped by product category",Global,Global,Regularly,Not specified,
70 TTI,Panjiva,https://es.panjiva.com/,S&P Global Market Intelligence,Flexible analysis platform; Data services,Multiple,"Panjiva is an intelligence platform, covering global trade through machine-learning technologies and data visualizations",Global,Global,Not specified,Financial institutions; Industry,support.panjiva@spglobal.com
73 TTI,Market Access Database,https://trade.ec.europa.eu/access-to-markets/en/home,European Commission,Data portal,Multiple,Overview of trade flows in goods between EU and non-EU countries for a specific product,Global,Global,Regularly,Not specified,
75 TTI,Trade Data Online (Government of Canada),https://strategis.ic.gc.ca/eic/site/tdo-dcd.nsf/eng/Home,Government of Canada,Visualisation / dashboard; Data portal,Multiple,"Trade Data Online provides the ability to generate customized reports on Canada and U.S. trade.
in goods with over 200 countries.",Canada; United States of America; Global,International,Monthly,Industry,1-800-328-6189
77 TTI,Trade Data Monitor,https://tradedatamonitor.com/?gclid=CjwKCAjwydP5BRBREiwA-qrCGvKD_bLXXsRglz7jQGsrVaN_eVsZMrWpniqp_oBTtcj-vEkGNdpqwBoCTswQAvD_BwE,Trade Data Monitor Inc.,Database; Data services,Multiple,"Gathers monthly trade statistics from over 110 countries (using historical and current data) and assembles them in a database searchable by HS code, country, value, weight, currency, port and region",Global,Global,Monthly,Governments; Industry; Financial institutions,Info@TradeDataMonitor.com
80 TTI,World Integrated Trade Solution,https://wits.worldbank.org/,World Integrated Trade Solution,Visualisation / dashboard; Data portal,Multiple,"This software provides access to international merchandise trade, tariff and non-tariff measures data. Browse the country profile section to obtain countries exports, imports and tariff statistics along with relevant development data. ",Global,Global ,Not updated,Not specified,wits@worldbank.org
81 TTI,Cotton Portal,https://www.cottonportal.org/cotton,ITC; WTO,Data portal,Cotton,"The Cotton Portal provides a single entry point for all the cotton-specific information available in WTO and ITC databases on market access, trade statistics, country-specific business contacts and development-assistance related information. It also provides links to relevant documents and webpages, and to other organisations active on cotton. ",Global,Global ,Regularly,Industry; Financial institutions,marketanalysis@intracen.org
82 TTI,Ireland National Statistics Office,https://www.cso.ie/en/statistics/externaltrade/,Central Statistics Office,Database; Data portal,Multiple; Agriculture; Beef,"The Central Statistics Office (CSO) is Ireland's national statistical office. Its purpose is to impartially collect, analyse and make available statistics about Ireland’s people, society and economy.",Ireland; Global,Global,Regularly,Not specified,information@cso.ie
83 TTI,Australian Government Department of Foreign Affairs and Trade,https://www.dfat.gov.au/trade/resources/Pages/trade-and-investment-data-information-and-publications,Australian Government Department of Foreign Affairs and Trade,Data portal; Digital reports,Multiple; Agriculture,"DFAT publishes a wide range of trade and investment information for public use, including historical export and import data dating back to the early 1900s",Australia,International,Monthly,General public,statssection@dfat.gov.au
84 TTI,Moody's Analytics,https://www.economy.com,Moody's Corporation,Data services,Multiple,"Provides over 200 million economic, financial, demographic time series representing over 93% of global GDP, covering major world economies, including all U.S. states, metros and counties",United States of America,Global,Daily,Industry; Financial institutions ,+1.610.235.5299
85 TTI,Forest Products Trade Flow database,https://www.efi.int/knowledge/databases/fptf,European Forest Institute,Database; Visualisation / dashboard,Bamboo; Rattan,"This database system provides an up-to-date, neutral, comprehensive source of forest products bilateral trade statistics to the public through an online interface. The system downloads trade flow data from UN COMTRADE and stores, validates and presents it in report or map form. ",Global,Global,Annually,General public,efisec@efi.int
86 TTI,USDA Economic Research Service,https://www.ers.usda.gov/data-products/,U.S. Department of Agriculture,Visualisation / dashboard; Data portal,Beef; Soybean; Poultry; Corn/ Maize; Sugar; Cotton; Multiple; Agriculture,"Database providing monthly and annual US import, export and production data for a range of agricultural goods. Visualisations include projections and forecasting",United States of America,International,Monthly,Not specified,
87 TTI,Export Genius,https://www.exportgenius.in/search-live-data.php,Export Genius,Data portal; Visualisation / dashboard; Data services,Agriculture; Multiple,"Export Genius provides trade information on exports and imports globally. The main services area Customs Data, Statistical Data and Analysis Reports",Global,Global,Monthly,Industry; Financial institutions,info@exportgenius.in
88 TTI,USDA Foreign Agricultural Service,https://www.fas.usda.gov/data,U.S. Department of Agriculture,Database; Digital reports,Agriculture; Multiple; Corn/ Maize; Soybean; Cotton,"Presents multiple databases: ESR - Information on U.S. export sales, by commodity and country of destination, updated weekly. GAIN - Insight and analysis from FAS's overseas offices on issues affecting agricultural production and trade. GATS - Current and historical data on international trade in agricultural, fish, forest and textile products. PS&D - Data on production, supply and distribution of agricultural commodities for the U.S. and key producing and consuming countries.",United States of America; Global,Global,Weekly,Not specified,ppded@fas.usda.gov
91 TTI,World Economic Outlook Databases,https://www.imf.org/en/Publications/SPROLLS/world-economic-outlook-databases#sort=%40imfdate%20descending,International Monetary Fund,Data portal; Database,Multiple,"World Economic Outlook Databases allows downloading of time series data for  exports, imports, commodity prices and economic and financial indicators. Data can be filtered by commodity group or country",Global,Global ,Bi-annually,Not specified,publicaffairs@imf.org
93 TTI,Ministry for Primary Industries New Zealand,https://www.mpi.govt.nz/news-and-resources/economic-intelligence-unit/data/,New Zealand Government,Data portal; Statistics,Beef; Sugar; Corn/ Maize,"Up-to-date and historical data on the pastoral, horticulture and arable sectors. Information covers export volumes, prices and revenue. This site also provides links to other sources of relevant information",New Zealand,National,Monthly,Not specified,info@mpi.govt.nz
95 TTI,Department of Statistics Singapore,https://www.singstat.gov.sg/find-data/search-by-theme?type=all,Government of Singapore,Statistics; Digital reports; Data portal,Multiple,"Trade data searchable by themes or A-Z, and time series via SingStat Table Builder",Singapore,Global  ,Monthly,Industry; Financial institutions; General public; Science and Research,info@singstat.gov.sg
98 TTI,TradeMapper,https://www.traffic.org/what-we-do/projects-and-approaches/trade-monitoring/,Traffic,Visualisation / dashboard; Flexible analysis platform,Wildlife; Song bird; Pangolin; Birds; Reptiles; Multiple,"A tool developed by TRAFFIC and WWF-UK for mapping wildlife trade data (such as CITES and customs data). TradeMapper allows visualisation and exploration of data, and creation of animations of change over time or static maps for reports and presentations. The system allows users to import data from CSV files, view trade routes, filter by various columns, and zoom and pan around the resulting map.",Global ,Global ,Not specified,Science and Research; General public,traffic@traffic.org
99 TTI,United Nations Office on Drugs and Crime,https://www.unodc.org/unodc/en/wildlife-and-forest-crime/index.html,UNODC,Digital reports ,Wildlife; Song bird; Pangolin; Birds; Reptiles; Multiple; Bamboo; Rattan,The Global Programme has developed informative material aiming not only to raise awareness of the issues but to build technical assistance. Reports and toolkits are available,Global ,Global ,Annually,Science and Research; General public,unodc-wlfc@un.org
